Customer_ID,Age,Gender,City,Marital_Status,Education,Occupation,Income,Preferred_Language,Preferred_Channel,Preferred_Time
HL00029,48,Male,Cardiff,Single,Associate Degree,Doctor,99517.704,English,Email,Afternoon
HL00030,20,Female,Liverpool,Married,Master's Degree,Entrepreneur,23673.216,English,Email,Evening
HL00031,37,Male,Bradford,Divorced,Bachelor's Degree,Nurse,17265.012,English,Text,Evening
HL00032,40,Female,Birmingham,Separated,Doctorate,Nurse,114686.28,English,Mail,Anytime
HL00033,49,Male,Birmingham,Single,Master's Degree,Artist,133238.64,English,Phone,Anytime
HL00034,31,Female,Manchester,Single,Master's Degree,Nurse,25222.152,English,Text,Evening
HL00035,36,Male,Manchester,Divorced,Master's Degree,Lawyer,122027.64,English,Text,Morning
HL00036,46,Male,Edinburgh,Married,Doctorate,Manager,66234.804,English,Email,Afternoon
HL00037,21,Male,Portsmouth,Single,Bachelor's Degree,Teacher,24959.88,Panjabi,Email,Evening
HL00038,47,Female,Kingston upon Hull,Married,Master's Degree,Engineer,62060.856,French,Mail,Anytime
HL00039,32,Female,Bristol,Married,Master's Degree,Lawyer,67152.468,English,Text,Afternoon
HL00040,31,Male,Glasgow,Divorced,High School Diploma,Artist,26881.5,English,Email,Evening
HL00041,34,Male,Manchester,Single,Bachelor's Degree,Lawyer,75426.048,English,Email,Morning
HL00042,43,Male,Sheffield,Married,Master's Degree,Lawyer,51030.24,English,Phone,Anytime
HL00043,29,Male,Liverpool,Divorced,Doctorate,Lawyer,113317.956,Panjabi,In-Person Meeting,Morning
HL00044,29,Female,Newcastle upon Tyne,Single,Bachelor's Degree,Entrepreneur,18678.504,Spanish,Text,Anytime
HL00045,33,Male,London,Single,High School Diploma,Entrepreneur,20145.444,English,In-Person Meeting,Morning
HL00046,44,Female,Leicester,Married,Associate Degree,Artist,72348.108,Portuguese,Email,Afternoon
HL00047,41,Male,Portsmouth,Married,Bachelor's Degree,Nurse,26428.272,English,Email,Anytime
HL00048,56,Female,London,Married,Master's Degree,Teacher,71922.252,English,Email,Afternoon
HL00049,43,Male,Liverpool,Single,High School Diploma,Manager,78884.256,English,Email,Afternoon
HL00050,30,Male,Leeds,Single,Associate Degree,Manager,26495.952,English,Phone,Afternoon
HL00051,43,Female,London,Single,Associate Degree,Manager,97316.268,French,Email,Morning
HL00052,51,Male,Manchester,Single,Master's Degree,Engineer,61939.8,English,Email,Morning
HL00053,43,Female,Liverpool,Single,Bachelor's Degree,Engineer,34089.672,Spanish,Phone,Anytime
HL00054,45,Male,London,Single,Bachelor's Degree,Lawyer,58784.088,Spanish,Email,Weekends
HL00055,61,Male,London,Married,High School Diploma,Artist,63647.988,English,Phone,Morning
HL00056,35,Female,Southampton,Married,Bachelor's Degree,Salesperson,66039.348,English,Email,Evening
HL00057,31,Female,Leeds,Single,Bachelor's Degree,Teacher,7921.8444,English,Email,Anytime
HL00058,21,Female,London,Divorced,Bachelor's Degree,Nurse,7343.8392,English,Email,Evening
HL00059,20,Male,London,Single,Associate Degree,Teacher,23517.72,English,Email,Afternoon
HL00060,24,Female,Leicester,Single,Bachelor's Degree,Lawyer,18357.852,English,Email,Evening
HL00061,43,Male,Belfast,Single,Master's Degree,Doctor,54819.84,English,Phone,Morning
HL00062,40,Female,Leeds,Widowed,Master's Degree,Nurse,55286.976,Panjabi,Email,Afternoon
HL00063,25,Male,Birmingham,Single,Master's Degree,Entrepreneur,21070.188,English,Mail,Weekends
HL00064,26,Male,Glasgow,Married,Associate Degree,Entrepreneur,26781.9,Panjabi,Phone,Afternoon
HL00065,36,Male,London,Widowed,Bachelor's Degree,Lawyer,46286.724,English,Email,Afternoon
HL00066,37,Male,Edinburgh,Separated,Doctorate,Lawyer,81221.592,English,Email,Evening
HL00067,45,Male,Manchester,Divorced,High School Diploma,Doctor,84368.46,English,In-Person Meeting,Evening
HL00068,44,Male,Birmingham,Single,Bachelor's Degree,Manager,101783.364,English,In-Person Meeting,Morning
HL00069,27,Male,Edinburgh,Single,Bachelor's Degree,Entrepreneur,30842.34,English,Mail,Morning
HL00070,25,Female,Liverpool,Married,Associate Degree,Entrepreneur,8358.2112,English,Email,Evening
HL00071,43,Female,Liverpool,Widowed,Bachelor's Degree,Lawyer,83004.624,English,Email,Afternoon
HL00072,26,Female,Glasgow,Married,Associate Degree,Entrepreneur,22901.724,English,Email,Evening
HL00073,31,Male,Birmingham,Married,Master's Degree,Artist,34952.76,Panjabi,Text,Evening
HL00074,42,Male,Kingston upon Hull,Single,Master's Degree,Teacher,131384.52,English,Email,Evening
HL00075,47,Female,Kingston upon Hull,Married,Master's Degree,Lawyer,62884.08,English,Phone,Afternoon
HL00076,37,Male,Glasgow,Single,Doctorate,Doctor,59031.576,English,Phone,Anytime
HL00077,28,Male,London,Single,Master's Degree,Artist,18554.964,French,Email,Afternoon
HL00078,64,Male,Cardiff,Married,Bachelor's Degree,Nurse,47879.172,English,Phone,Afternoon
HL00079,25,Male,Sheffield,Single,Associate Degree,Entrepreneur,15992.844,English,Text,Evening
HL00080,47,Male,Sheffield,Single,Doctorate,Doctor,93175.632,English,Email,Morning
HL00081,24,Female,Manchester,Married,High School Diploma,Doctor,27218.052,English,Text,Evening
HL00082,27,Male,London,Single,Master's Degree,Artist,19870.392,Panjabi,Phone,Evening
HL00083,49,Male,Manchester,Single,Master's Degree,Doctor,71255.028,Spanish,In-Person Meeting,Morning
HL00084,53,Female,Manchester,Married,Associate Degree,Artist,64393.092,English,Phone,Evening
HL00085,53,Male,Coventry,Married,High School Diploma,Salesperson,73980.372,Chinese,Mail,Anytime
HL00086,42,Female,Cardiff,Single,Doctorate,Doctor,89363.076,English,Email,Evening
HL00087,20,Male,Southampton,Married,Bachelor's Degree,Salesperson,21960.048,Spanish,Email,Evening
HL00088,35,Female,Birmingham,Widowed,Associate Degree,Nurse,64885.044,French,Email,Afternoon
HL00089,62,Female,Coventry,Married,Bachelor's Degree,Nurse,48338.94,English,Email,Anytime
HL00090,59,Male,Manchester,Married,Doctorate,Doctor,54509.1,Spanish,Email,Afternoon
HL00091,21,Male,Leeds,Married,Associate Degree,Lawyer,53148.72,English,Email,Anytime
HL00092,37,Male,Manchester,Single,Bachelor's Degree,Salesperson,58585.92,English,Phone,Afternoon
HL00093,38,Male,London,Single,Bachelor's Degree,Nurse,25457.952,English,Text,Weekends
HL00094,49,Female,Sheffield,Divorced,Master's Degree,Manager,57427.188,French,In-Person Meeting,Morning
HL00095,29,Male,Belfast,Married,Master's Degree,Nurse,25978.896,French,Text,Anytime
HL00096,31,Male,Bristol,Married,High School Diploma,Manager,25933.944,English,Text,Evening
HL00097,56,Female,Liverpool,Widowed,High School Diploma,Engineer,49704.12,English,Phone,Morning
HL00098,31,Female,Manchester,Single,High School Diploma,Entrepreneur,22500.696,French,Email,Evening
HL00099,26,Male,London,Married,High School Diploma,Doctor,22633.992,English,Text,Afternoon
HL00100,40,Female,Bristol,Single,Master's Degree,Engineer,73903.212,English,Email,Morning
HL00101,29,Male,Manchester,Single,Bachelor's Degree,Artist,110856.948,Spanish,Email,Morning
HL00102,20,Female,Manchester,Married,High School Diploma,Salesperson,13401.576,English,Text,Evening
HL00103,24,Male,Sheffield,Single,Master's Degree,Nurse,16035.648,English,Phone,Anytime
HL00104,72,Female,London,Widowed,Doctorate,Manager,56219.556,English,Email,Afternoon
HL00105,37,Female,Leicester,Widowed,Associate Degree,Manager,84883.56,English,In-Person Meeting,Afternoon
HL00106,25,Female,London,Married,Doctorate,Teacher,17245.98,English,Text,Anytime
HL00107,33,Male,Bristol,Married,High School Diploma,Nurse,18945.12,Panjabi,Text,Afternoon
HL00108,47,Male,Newcastle upon Tyne,Separated,Doctorate,Manager,70988.964,English,Phone,Morning
HL00109,48,Female,London,Single,Master's Degree,Salesperson,106645.872,Chinese,Email,Afternoon
HL00110,31,Female,Manchester,Married,Doctorate,Nurse,20944.644,Chinese,Text,Weekends
HL00111,51,Female,Glasgow,Married,Bachelor's Degree,Engineer,72814.764,English,In-Person Meeting,Afternoon
HL00112,45,Male,Birmingham,Single,Doctorate,Manager,91154.28,Spanish,Email,Morning
HL00113,20,Female,Leeds,Single,Doctorate,Lawyer,16814.16,Panjabi,Text,Anytime
HL00114,48,Female,Manchester,Married,Doctorate,Manager,70966.08,English,Mail,Evening
HL00115,36,Male,Manchester,Divorced,Doctorate,Manager,72417.192,English,Email,Afternoon
HL00116,61,Female,Sheffield,Married,High School Diploma,Artist,64300.572,English,Email,Morning
HL00117,25,Female,London,Single,Master's Degree,Lawyer,19560.336,English,Text,Evening
HL00118,35,Female,Bristol,Single,Bachelor's Degree,Salesperson,20818.56,English,Text,Afternoon
HL00119,54,Female,Manchester,Widowed,Bachelor's Degree,Engineer,51660.792,English,Phone,Afternoon
HL00120,19,Female,Manchester,Single,Associate Degree,Nurse,25135.884,Urdu,In-Person Meeting,Morning
HL00121,39,Male,Birmingham,Married,Master's Degree,Lawyer,64802.832,English,Email,Morning
HL00122,54,Female,Cardiff,Married,Bachelor's Degree,Artist,52966.152,English,In-Person Meeting,Weekends
HL00123,40,Female,London,Widowed,Associate Degree,Engineer,52240.128,Romanian,Mail,Evening
HL00124,22,Male,Southampton,Single,Bachelor's Degree,Artist,16052.58,Spanish,In-Person Meeting,Evening
HL00125,24,Female,Leicester,Married,Master's Degree,Entrepreneur,18154.128,English,Text,Morning
HL00126,49,Male,London,Single,Master's Degree,Doctor,55865.34,English,Text,Weekends
HL00127,40,Female,Liverpool,Married,Associate Degree,Artist,46403.244,Panjabi,Phone,Evening
HL00128,42,Male,Belfast,Divorced,Master's Degree,Manager,97079.136,Arabic,Email,Afternoon
HL00129,28,Female,Birmingham,Married,Bachelor's Degree,Nurse,18993.492,English,Mail,Evening
HL00130,32,Male,Birmingham,Married,High School Diploma,Doctor,18546.912,English,In-Person Meeting,Evening
HL00131,28,Male,Edinburgh,Single,Master's Degree,Lawyer,69490.596,English,Phone,Morning
HL00132,34,Female,Portsmouth,Single,Master's Degree,Lawyer,103815.972,English,In-Person Meeting,Morning
HL00133,57,Female,Portsmouth,Married,Bachelor's Degree,Salesperson,64927.74,Urdu,Phone,Afternoon
HL00134,37,Male,Manchester,Divorced,Doctorate,Engineer,117010.308,English,In-Person Meeting,Afternoon
HL00135,40,Male,Liverpool,Single,Bachelor's Degree,Doctor,98981.988,English,Phone,Afternoon
HL00136,29,Male,Sheffield,Married,Associate Degree,Engineer,51259.452,Spanish,Email,Anytime
HL00137,44,Male,London,Single,Master's Degree,Manager,81500.556,Urdu,Phone,Evening
HL00138,25,Male,Portsmouth,Single,Bachelor's Degree,Salesperson,18773.484,English,Phone,Afternoon
HL00139,31,Male,Southampton,Divorced,Doctorate,Entrepreneur,59302.488,French,Phone,Morning
HL00140,49,Female,Birmingham,Divorced,Associate Degree,Teacher,74778.288,French,Email,Afternoon
HL00141,30,Male,London,Single,Associate Degree,Manager,115971.972,English,Email,Morning
HL00142,44,Female,London,Widowed,Master's Degree,Lawyer,52427.172,English,Email,Morning
HL00143,58,Female,London,Widowed,Doctorate,Artist,49965.348,French,In-Person Meeting,Evening
HL00144,42,Female,Birmingham,Divorced,Doctorate,Manager,69586.524,English,Phone,Morning
HL00145,24,Male,Nottingham,Single,High School Diploma,Entrepreneur,17377.884,English,Text,Anytime
HL00146,38,Female,Kingston upon Hull,Single,Master's Degree,Engineer,128829.12,English,Email,Afternoon
HL00147,38,Female,Liverpool,Single,Master's Degree,Entrepreneur,106002.576,English,Email,Afternoon
HL00148,26,Male,London,Married,Doctorate,Manager,17508.624,English,Phone,Evening
HL00149,48,Male,Nottingham,Single,Master's Degree,Teacher,122181.72,English,Email,Morning
HL00150,58,Male,Manchester,Married,Doctorate,Nurse,54667.188,English,Mail,Anytime
HL00151,45,Male,Newcastle upon Tyne,Separated,Master's Degree,Doctor,87597.468,English,In-Person Meeting,Evening
HL00152,51,Male,Manchester,Single,Master's Degree,Salesperson,101837.952,English,Email,Morning
HL00153,24,Male,Portsmouth,Single,Master's Degree,Teacher,24579.504,English,Text,Anytime
HL00154,22,Male,Bristol,Married,Master's Degree,Engineer,19807.26,English,Text,Morning
HL00155,42,Female,London,Married,High School Diploma,Teacher,41328.384,English,Text,Evening
HL00156,31,Male,Bristol,Single,High School Diploma,Engineer,16047.996,French,Mail,Evening
HL00157,37,Female,Liverpool,Single,Bachelor's Degree,Manager,20212.656,English,Mail,Anytime
HL00158,48,Female,Bradford,Divorced,Associate Degree,Entrepreneur,44563.044,English,Email,Weekends
HL00159,26,Female,Birmingham,Married,Bachelor's Degree,Lawyer,24221.712,English,Email,Evening
HL00160,31,Female,Manchester,Single,Bachelor's Degree,Nurse,20904.408,French,Phone,Afternoon
HL00161,26,Male,Liverpool,Married,Associate Degree,Entrepreneur,17729.844,English,Mail,Anytime
HL00162,63,Male,Kingston upon Hull,Married,Associate Degree,Engineer,74487.48,English,Phone,Afternoon
HL00163,44,Female,Glasgow,Married,Master's Degree,Doctor,71638.824,English,Email,Evening
HL00164,37,Male,Glasgow,Widowed,High School Diploma,Entrepreneur,56598.468,English,Email,Evening
HL00165,36,Female,London,Married,High School Diploma,Artist,69214.008,Spanish,Mail,Afternoon
HL00166,45,Female,London,Divorced,Bachelor's Degree,Teacher,147796.2,French,Phone,Morning
HL00167,23,Male,Manchester,Married,Associate Degree,Manager,33331.5,Urdu,Email,Evening
HL00168,38,Female,Southampton,Divorced,Master's Degree,Doctor,131115.96,French,In-Person Meeting,Afternoon
HL00169,36,Female,Leicester,Divorced,Associate Degree,Doctor,111622.308,English,In-Person Meeting,Afternoon
HL00170,39,Male,Portsmouth,Married,Master's Degree,Teacher,46965.024,Spanish,Mail,Morning
HL00171,38,Male,Stoke-on-Trent,Separated,Doctorate,Doctor,119677.428,English,Mail,Evening
HL00172,45,Male,Manchester,Single,Master's Degree,Lawyer,90828.396,Panjabi,Email,Morning
HL00173,36,Male,Kingston upon Hull,Single,Bachelor's Degree,Doctor,96768.684,English,Email,Morning
HL00174,32,Male,Bristol,Married,Bachelor's Degree,Nurse,20601.54,English,Phone,Anytime
HL00175,45,Male,Leeds,Divorced,Doctorate,Doctor,115454.772,Panjabi,Email,Afternoon
HL00176,60,Female,Manchester,Divorced,Master's Degree,Salesperson,69592.68,English,Mail,Anytime
HL00177,52,Female,Kingston upon Hull,Married,Associate Degree,Manager,17067.912,English,Phone,Evening
HL00178,47,Female,Portsmouth,Married,Bachelor's Degree,Lawyer,62816.316,English,Email,Afternoon
HL00179,73,Female,Leicester,Married,Associate Degree,Engineer,75749.376,English,Mail,Afternoon
HL00180,21,Female,Glasgow,Divorced,High School Diploma,Doctor,27933.732,Spanish,Text,Anytime
HL00181,29,Female,Belfast,Divorced,Doctorate,Artist,58427.124,English,Email,Morning
HL00182,64,Female,London,Widowed,Master's Degree,Lawyer,63264.528,Spanish,Email,Afternoon
HL00183,35,Male,London,Single,Master's Degree,Lawyer,94485.852,English,In-Person Meeting,Morning
HL00184,44,Male,Leeds,Separated,Master's Degree,Manager,111584.016,English,Email,Afternoon
HL00185,39,Male,Coventry,Single,Doctorate,Manager,122704.56,English,Email,Morning
HL00186,32,Male,Nottingham,Separated,Doctorate,Lawyer,80818.056,English,Email,Morning
HL00187,28,Female,Sheffield,Single,Master's Degree,Artist,74198.904,Romanian,Phone,Afternoon
HL00188,47,Male,Liverpool,Single,Bachelor's Degree,Teacher,71612.316,English,Email,Anytime
HL00189,60,Male,Manchester,Divorced,Doctorate,Teacher,67380.252,Spanish,Email,Afternoon
HL00190,53,Male,Birmingham,Divorced,Bachelor's Degree,Manager,112081.44,Chinese,Phone,Anytime
HL00191,48,Male,Leicester,Single,Doctorate,Doctor,102958.092,English,Email,Afternoon
HL00192,48,Female,London,Married,Associate Degree,Teacher,65999.928,Romanian,Phone,Evening
HL00193,34,Male,Edinburgh,Divorced,Doctorate,Artist,120536.16,English,In-Person Meeting,Evening
HL00194,68,Female,Manchester,Widowed,Doctorate,Nurse,75490.956,French,Text,Afternoon
HL00195,64,Female,Liverpool,Widowed,Master's Degree,Nurse,42440.7,Chinese,Email,Afternoon
HL00196,20,Male,Edinburgh,Single,Bachelor's Degree,Doctor,26412.96,Panjabi,Text,Evening
HL00197,54,Female,London,Divorced,Associate Degree,Teacher,58772.712,English,Email,Afternoon
HL00198,72,Female,Edinburgh,Married,Bachelor's Degree,Doctor,62934.42,English,Email,Weekends
HL00199,25,Female,Manchester,Single,High School Diploma,Artist,21708.108,English,Phone,Evening
HL00200,27,Male,Manchester,Divorced,Bachelor's Degree,Artist,91365.36,English,Phone,Morning
HL00201,49,Male,London,Single,Master's Degree,Manager,52476.576,French,Text,Morning
HL00202,68,Male,Birmingham,Widowed,Bachelor's Degree,Artist,86898.96,English,Phone,Afternoon
HL00203,35,Male,London,Married,Master's Degree,Salesperson,20965.464,Chinese,Phone,Evening
HL00204,53,Female,Glasgow,Married,Bachelor's Degree,Salesperson,63576.996,English,Email,Morning
HL00205,20,Male,Birmingham,Single,Bachelor's Degree,Manager,23101.812,English,Phone,Evening
HL00206,38,Male,Edinburgh,Single,Associate Degree,Manager,131377.92,English,In-Person Meeting,Afternoon
HL00207,22,Female,Manchester,Married,Associate Degree,Nurse,14995.752,French,Phone,Weekends
HL00208,34,Male,Edinburgh,Single,Associate Degree,Salesperson,15926.556,English,Text,Evening
HL00209,41,Female,Birmingham,Separated,Master's Degree,Doctor,67780.908,English,In-Person Meeting,Morning
HL00210,19,Female,London,Single,High School Diploma,Entrepreneur,17597.064,English,Text,Anytime
HL00211,31,Male,Edinburgh,Separated,Bachelor's Degree,Salesperson,86154.54,English,Email,Morning
HL00212,43,Male,Newcastle upon Tyne,Single,Doctorate,Doctor,91954.044,English,Email,Morning
HL00213,54,Female,Manchester,Married,Associate Degree,Entrepreneur,74475.264,English,Phone,Afternoon
HL00214,42,Female,Edinburgh,Married,Associate Degree,Entrepreneur,36487.44,English,Email,Evening
HL00215,42,Male,Liverpool,Single,Master's Degree,Teacher,95225.736,Spanish,Email,Morning
HL00216,56,Female,Coventry,Married,Doctorate,Manager,60959.856,English,Email,Afternoon
HL00217,46,Male,London,Divorced,Doctorate,Lawyer,95912.604,English,In-Person Meeting,Morning
HL00218,48,Male,London,Married,Bachelor's Degree,Artist,49387.776,English,Email,Afternoon
HL00219,32,Male,Birmingham,Single,High School Diploma,Engineer,21545.508,Spanish,Text,Evening
HL00220,34,Female,Leeds,Single,Associate Degree,Doctor,131215.2,English,Email,Morning
HL00221,44,Male,Glasgow,Divorced,Bachelor's Degree,Manager,127498.08,Spanish,Email,Morning
HL00222,38,Female,Edinburgh,Single,Associate Degree,Lawyer,114204.228,English,Email,Afternoon
HL00223,29,Male,Birmingham,Single,Master's Degree,Teacher,22687.92,English,Phone,Evening
HL00224,50,Female,Birmingham,Single,Bachelor's Degree,Engineer,93576.192,Spanish,Phone,Afternoon
HL00225,23,Male,London,Single,Bachelor's Degree,Artist,24783.216,English,Text,Evening
HL00226,38,Male,London,Single,Bachelor's Degree,Lawyer,87507.468,English,Phone,Afternoon
HL00227,30,Female,Nottingham,Single,Bachelor's Degree,Lawyer,13856.964,English,Email,Evening
HL00228,20,Male,Southampton,Married,Associate Degree,Artist,23737.224,English,Mail,Evening
HL00229,35,Male,Birmingham,Single,Associate Degree,Lawyer,126017.64,French,Email,Afternoon
HL00230,41,Male,Manchester,Single,Master's Degree,Doctor,125664.36,English,Email,Morning
HL00231,24,Male,Liverpool,Single,Bachelor's Degree,Entrepreneur,27378.48,English,Mail,Evening
HL00232,36,Male,Stoke-on-Trent,Single,High School Diploma,Teacher,50214.744,Panjabi,Email,Morning
HL00233,33,Female,Leeds,Single,Master's Degree,Nurse,25806.54,English,Email,Evening
HL00234,19,Male,Sheffield,Divorced,Associate Degree,Nurse,15097.584,English,Text,Morning
HL00235,34,Male,Belfast,Separated,Master's Degree,Entrepreneur,105855.012,English,In-Person Meeting,Morning
HL00236,33,Male,Coventry,Single,Doctorate,Artist,21844.692,Spanish,Text,Morning
HL00237,24,Female,Southampton,Single,Master's Degree,Teacher,17789.976,Panjabi,Email,Evening
HL00238,35,Male,Liverpool,Separated,High School Diploma,Nurse,69679.044,English,In-Person Meeting,Afternoon
HL00239,35,Male,Birmingham,Single,Doctorate,Manager,128571.84,English,Email,Morning
HL00240,47,Male,Birmingham,Divorced,Bachelor's Degree,Doctor,126796.56,Spanish,Email,Evening
HL00241,48,Female,London,Divorced,Associate Degree,Salesperson,76456.416,English,In-Person Meeting,Afternoon
HL00242,57,Female,Bristol,Married,Associate Degree,Lawyer,65001.852,English,Text,Evening
HL00243,47,Male,Leeds,Single,Bachelor's Degree,Lawyer,68093.976,English,Text,Weekends
HL00244,38,Male,Leeds,Separated,Associate Degree,Nurse,56562.648,Panjabi,Email,Morning
HL00245,27,Male,Glasgow,Married,Bachelor's Degree,Manager,63687.36,English,Text,Morning
HL00246,49,Female,Manchester,Married,Associate Degree,Teacher,75950.256,English,Email,Afternoon
HL00247,54,Female,Bristol,Divorced,Doctorate,Artist,68621.916,English,Email,Morning
HL00248,31,Female,London,Divorced,Bachelor's Degree,Doctor,147086.4,English,Email,Afternoon
HL00249,45,Male,Bristol,Separated,Bachelor's Degree,Salesperson,110415.72,Panjabi,In-Person Meeting,Morning
HL00250,22,Female,Liverpool,Single,High School Diploma,Manager,20106.72,English,Text,Evening
HL00251,19,Male,Glasgow,Single,Master's Degree,Nurse,27895.128,English,Email,Morning
HL00252,44,Female,Sheffield,Married,Associate Degree,Doctor,59563.248,English,In-Person Meeting,Evening
HL00253,51,Male,Birmingham,Separated,Doctorate,Artist,69112.464,English,Email,Morning
HL00254,47,Female,Manchester,Separated,Master's Degree,Lawyer,104109.78,English,Email,Morning
HL00255,20,Male,Nottingham,Single,Bachelor's Degree,Entrepreneur,25501.98,English,Text,Evening
HL00256,22,Male,Nottingham,Single,Bachelor's Degree,Artist,20343.672,English,Phone,Evening
HL00257,51,Male,Coventry,Separated,Associate Degree,Teacher,80331.888,Spanish,Phone,Weekends
HL00258,20,Male,London,Single,Bachelor's Degree,Nurse,23316.84,English,Text,Anytime
HL00259,54,Male,Leicester,Married,Master's Degree,Doctor,65646.66,French,Email,Morning
HL00260,51,Female,Leicester,Married,Master's Degree,Engineer,79682.436,English,In-Person Meeting,Afternoon
HL00261,30,Male,Manchester,Single,Bachelor's Degree,Entrepreneur,22699.536,English,Mail,Morning
HL00262,52,Male,Liverpool,Married,High School Diploma,Manager,57694.14,French,Phone,Morning
HL00263,39,Male,Bristol,Divorced,Bachelor's Degree,Manager,108198.3,English,In-Person Meeting,Weekends
HL00264,57,Female,London,Married,Bachelor's Degree,Entrepreneur,61905.6,English,Mail,Afternoon
HL00265,26,Male,Stoke-on-Trent,Married,Associate Degree,Doctor,100450.404,Spanish,Mail,Morning
HL00266,20,Female,Leeds,Married,Bachelor's Degree,Engineer,26423.064,English,Mail,Anytime
HL00267,55,Female,Birmingham,Divorced,Bachelor's Degree,Entrepreneur,69010.728,English,In-Person Meeting,Morning
HL00268,38,Male,Glasgow,Separated,Master's Degree,Nurse,96363.204,English,Mail,Afternoon
HL00269,33,Male,Birmingham,Divorced,Bachelor's Degree,Manager,104286.42,English,In-Person Meeting,Weekends
HL00270,25,Female,London,Single,Bachelor's Degree,Entrepreneur,25095.48,English,Text,Morning
HL00271,23,Female,Newcastle upon Tyne,Single,Bachelor's Degree,Entrepreneur,21907.344,English,Text,Evening
HL00272,20,Male,Southampton,Single,Bachelor's Degree,Lawyer,17023.26,French,Text,Anytime
HL00273,45,Male,Leeds,Single,Master's Degree,Manager,102044.496,English,Mail,Evening
HL00274,52,Female,Southampton,Widowed,High School Diploma,Engineer,75798.432,English,Text,Morning
HL00275,36,Male,London,Separated,Bachelor's Degree,Salesperson,132795.48,English,Text,Afternoon
HL00276,49,Female,Stoke-on-Trent,Married,Associate Degree,Doctor,53217.024,English,Email,Afternoon
HL00277,72,Female,London,Married,Bachelor's Degree,Doctor,51967.668,English,Email,Morning
HL00278,33,Female,Stoke-on-Trent,Single,Doctorate,Entrepreneur,22109.784,English,Text,Evening
HL00279,32,Male,Edinburgh,Separated,Associate Degree,Doctor,104121.132,English,Phone,Morning
HL00280,28,Male,Birmingham,Divorced,Doctorate,Manager,98579.436,English,Phone,Morning
HL00281,20,Female,Bristol,Married,High School Diploma,Entrepreneur,16960.608,English,In-Person Meeting,Evening
HL00282,47,Male,Manchester,Divorced,Bachelor's Degree,Artist,164619.12,Spanish,In-Person Meeting,Morning
HL00283,53,Male,Manchester,Divorced,Master's Degree,Engineer,103003.248,English,Text,Afternoon
HL00284,43,Female,Sheffield,Separated,Bachelor's Degree,Artist,69593.76,English,Email,Weekends
HL00285,64,Female,London,Married,Doctorate,Lawyer,57969.6,English,Email,Evening
HL00286,21,Male,Manchester,Single,Bachelor's Degree,Manager,23018.436,English,Phone,Evening
