Policy_ID,Customer_ID,Product_ID,Purchase_Date,Premium,Coverage
P000281,HL00281,POL200015,11/1/2022,1741.806367,99505.74208
P000286,HL00286,POL200008,6/1/2023,1850.572416,99620.16
P000287,HL00287,POL200002,1/21/2023,2470.907146,98910.33091
P000288,HL00288,POL200018,2/21/2024,1096.610806,101066.7101
P000289,HL00289,POL200004,4/23/2023,1927.765516,97184.6009
P000292,HL00292,POL200004,1/23/2024,1538.357942,99053.2609
P000295,HL00295,POL200004,7/18/2023,1920.90348,102228.3227
P000296,HL00296,POL200007,5/17/2022,2411.253959,102558.0503
P000297,HL00297,POL200016,7/1/2023,2090.08285,98076.49907
P000298,HL00298,POL200004,3/21/2022,2289.798168,100945.4041
P000299,HL00299,POL200004,2/17/2024,1250.898616,98855.24318
P000301,HL00301,POL200004,5/21/2022,1781.997998,98335.34019
P000304,HL00304,POL200006,8/22/2023,2285.221938,98754.38477
P000307,HL00307,POL200015,7/15/2023,1904.560557,98102.39328
P000309,HL00309,POL200017,6/16/2022,1174.903663,102604.9448
P000310,HL00310,POL200018,9/15/2022,1742.709451,101572.2023
P000311,HL00311,POL200006,1/25/2022,1927.376907,95446.40187
P000315,HL00315,POL200016,11/15/2023,1237.494401,99140.38911
P000317,HL00317,POL200017,6/15/2023,1202.504645,99831.70132
P000318,HL00318,POL200000,7/16/2023,1165.770764,100105.9092
P000320,HL00320,POL200002,11/14/2023,1724.929724,95921.83209
P000321,HL00321,POL200004,11/24/2022,1659.834872,98426.05956
P000325,HL00325,POL200016,7/13/2022,1870.506709,99272.86921
P000328,HL00328,POL200004,10/31/2022,1246.368277,100970.0797
P000329,HL00329,POL200004,10/5/2022,1995.484516,99535.96
P000330,HL00330,POL200016,6/17/2022,1106.452762,97919.64703
P000331,HL00331,POL200001,11/3/2022,2008.049264,103472.0052
P000333,HL00333,POL200015,4/23/2023,2188.563005,96808.57432
P000334,HL00334,POL200003,12/22/2022,1625.761454,97894.71118
P000336,HL00336,POL200011,7/7/2023,1848.833184,97701.39971
P000338,HL00338,POL200009,1/6/2024,1433.404458,98662.88632
P000340,HL00340,POL200007,9/21/2023,1760.339716,98924.76847
P000343,HL00343,POL200008,8/19/2023,1184.562601,99298.8662
P000348,HL00348,POL200006,10/17/2022,1865.347139,102006.9341
P000352,HL00352,POL200002,6/26/2023,1370.829933,100807.8318
P000353,HL00353,POL200012,3/23/2022,1798.484167,99337.75255
P000354,HL00354,POL200016,3/25/2022,2202.195581,100675.9133
P000356,HL00356,POL200002,10/10/2023,2184.818939,99379.69188
P000359,HL00359,POL200016,1/23/2022,1827.668898,99827.06523
P000362,HL00362,POL200007,5/10/2022,2251.821675,100367.2346
P000368,HL00368,POL200018,6/30/2023,2050.581935,98674.89325
P000369,HL00369,POL200005,2/19/2022,1349.480399,104365.9552
P000371,HL00371,POL200017,2/3/2024,2304.815769,103533.9773
P000373,HL00373,POL200008,10/30/2022,2218.306425,96583.95313
P000374,HL00374,POL200015,2/23/2022,1552.053518,99881.95834
P000379,HL00379,POL200015,9/22/2023,1728.250115,97333.7437
P000380,HL00380,POL200017,10/28/2022,1653.522905,98680.53734
P000382,HL00382,POL200003,8/14/2023,2018.066575,99499.58299
P000387,HL00387,POL200004,5/14/2022,2270.267947,96156.96756
P000389,HL00389,POL200009,6/25/2022,1597.31885,102693.7946
P000390,HL00390,POL200018,3/15/2023,1619.751874,101077.8204
P000395,HL00395,POL200015,6/18/2022,2184.018085,101636.6047
P000396,HL00396,POL200012,9/22/2023,1807.366981,97365.40489
P000401,HL00401,POL200009,2/17/2023,2151.711431,98594.14639
P000402,HL00402,POL200000,1/3/2024,1253.439856,101469.765
P000405,HL00405,POL200016,1/28/2023,1211.105441,103942.7218
P000408,HL00408,POL200015,3/2/2024,1436.311944,95060.376
P000409,HL00409,POL200001,7/3/2023,2110.508914,99249.78554
P000414,HL00414,POL200010,11/18/2022,2148.458007,101297.4757
P000418,HL00418,POL200018,5/17/2023,1382.942232,101106.605
P000421,HL00421,POL200008,10/29/2022,2558.96921,98619.98214
P000423,HL00423,POL200018,4/25/2022,2014.893007,101278.3968
P000427,HL00427,POL200008,10/7/2022,1301.466788,103056.5403
P000430,HL00430,POL200001,2/4/2022,2378.919447,103423.7472
P000431,HL00431,POL200005,7/12/2023,1682.576975,99213.12623
P000432,HL00432,POL200008,2/2/2022,1485.687371,99505.10378
P000446,HL00446,POL200008,10/27/2023,2492.048831,102889.9258
P000453,HL00453,POL200004,1/3/2024,1292.84529,100061.7327
P000454,HL00454,POL200008,1/12/2023,2036.029071,104011.5605
P000455,HL00455,POL200004,10/13/2022,2487.457983,100633.5079
P000468,HL00468,POL200017,1/5/2024,1421.81627,102933.441
P000471,HL00471,POL200001,4/10/2022,1829.42645,97073.18044
P000478,HL00478,POL200018,7/20/2023,2028.685105,101770.5559
P000479,HL00479,POL200015,2/12/2023,1961.617753,99354.23175
P000480,HL00480,POL200008,6/22/2023,778.6036186,101403.653
P000482,HL00482,POL200003,7/11/2022,2020.404108,98654.61361
P000483,HL00483,POL200015,12/6/2023,2086.841269,97420.10472
P000499,HL00499,POL200015,7/6/2023,1937.994049,103974.641
P000501,HL00501,POL200015,4/8/2023,1821.400342,99439.21563
P000502,HL00502,POL200017,10/23/2023,1529.323744,101903.1475
P000504,HL00504,POL200017,7/22/2023,1659.224894,96624.72636
P000512,HL00512,POL200016,6/25/2023,2045.104357,98424.19749
P000517,HL00517,POL200003,6/13/2022,1698.910991,98592.6646
P000519,HL00519,POL200002,3/23/2024,1549.839954,101487.8892
P000521,HL00521,POL200017,3/17/2023,1604.303191,99986.54776
P000523,HL00523,POL200002,7/5/2023,2164.559619,100032.7543
P000524,HL00524,POL200008,5/2/2022,2603.563648,102534.4246
P000535,HL00535,POL200016,1/18/2023,1896.945553,98416.60192
P000537,HL00537,POL200016,1/5/2023,2220.021427,100940.1751
P000538,HL00538,POL200010,3/12/2024,1624.53863,100598.4718
P000539,HL00539,POL200016,6/8/2022,1796.569094,96325.88277
P000542,HL00542,POL200018,8/26/2023,1676.97925,97972.1137
P000544,HL00544,POL200015,7/22/2022,2005.158906,101289.3354
P000548,HL00548,POL200006,8/24/2022,1901.217149,99967.24838
P000552,HL00552,POL200002,2/24/2024,2068.918364,99158.12704
P000559,HL00559,POL200018,1/5/2024,1624.808261,98257.91181
P000563,HL00563,POL200006,8/28/2022,1697.030502,99199.64876
P000569,HL00569,POL200008,4/19/2023,1526.227957,99912.92126
P000571,HL00571,POL200004,8/22/2023,1480.471155,100109.4812
P000572,HL00572,POL200007,2/20/2024,2409.846425,99490.68455
P000575,HL00575,POL200015,6/11/2023,1630.902322,102825.7546
P000576,HL00576,POL200018,2/17/2024,1818.849696,99225.46928
P000579,HL00579,POL200018,9/11/2023,1938.918649,95609.03055
P000581,HL00581,POL200005,3/7/2024,2331.852396,99024.95431
P000590,HL00590,POL200016,9/29/2022,2439.295851,101502.7657
P000591,HL00591,POL200001,12/11/2022,1562.926311,102851.1923
P000594,HL00594,POL200002,11/27/2023,1405.023559,102852.4543
P000596,HL00596,POL200017,6/30/2022,2147.795041,97568.24722
P000600,HL00600,POL200018,11/21/2023,2264.402235,99891.62571
P000605,HL00605,POL200004,1/30/2024,1875.240583,100867.63
P000609,HL00609,POL200012,3/8/2024,1760.458076,98250.16888
P000615,HL00615,POL200015,1/2/2024,1673.390489,101067.6455
P000616,HL00616,POL200007,8/7/2022,2073.05558,101719.4377
P000617,HL00617,POL200015,3/21/2022,1463.382504,102237.2031
P000630,HL00630,POL200015,9/7/2023,1780.726013,101160.0997
P000631,HL00631,POL200000,11/23/2022,1924.489912,101196.5134
P000636,HL00636,POL200008,9/4/2022,1514.147829,98204.6274
P000638,HL00638,POL200002,11/11/2022,2390.833943,98570.11211
P000643,HL00643,POL200001,10/18/2023,1563.952984,96273.77105
P000644,HL00644,POL200009,10/22/2022,1845.52207,98587.07333
P000646,HL00646,POL200015,6/4/2023,2057.722857,97810.45751
P000651,HL00651,POL200018,4/27/2023,2312.04794,100453.1925
P000652,HL00652,POL200007,12/5/2022,1913.330578,102415.0602
P000664,HL00664,POL200015,8/20/2022,1691.167562,100504.3379
P000668,HL00668,POL200016,3/27/2022,1816.786595,100932.4808
P000671,HL00671,POL200006,1/22/2023,1778.55258,100760.4897
P000672,HL00672,POL200009,2/12/2024,2221.669427,101164.9686
P000674,HL00674,POL200002,1/21/2023,1951.981194,104255.3535
P000676,HL00676,POL200016,8/8/2023,2086.893134,98609.65161
P000680,HL00680,POL200002,1/24/2023,2170.084211,99919.39046
P000682,HL00682,POL200004,7/14/2023,1902.538338,100773.0596
P000683,HL00683,POL200002,7/1/2023,2417.199643,101981.7935
P000689,HL00689,POL200002,10/27/2023,1804.863516,103535.4028
P000693,HL00693,POL200015,7/3/2023,1190.935382,101050.1822
P000698,HL00698,POL200003,8/28/2023,2195.23252,98524.01286
P000700,HL00700,POL200018,1/15/2024,1863.913824,100506.7599
P000701,HL00701,POL200004,5/3/2022,2473.095212,98246.62907
P000702,HL00702,POL200017,3/15/2024,1409.968025,104884.5592
P000703,HL00703,POL200017,8/19/2023,1601.580741,100117.6785
P000707,HL00707,POL200003,1/18/2023,2068.409572,98106.62297
P000712,HL00712,POL200003,1/27/2024,2171.622524,99803.6537
P000714,HL00714,POL200016,5/19/2023,2064.133477,100558.0518
P000719,HL00719,POL200003,6/24/2022,1761.421431,98982.42805
P000725,HL00725,POL200001,10/17/2022,2263.768796,100700.193
P000726,HL00726,POL200016,9/20/2019,1779.81327,98984.21875
P000730,HL00730,POL200009,8/27/2023,1391.437388,99458.60101
P000733,HL00733,POL200017,5/11/2023,1299.255765,97698.48319
P000738,HL00738,POL200017,1/19/2023,1772.692726,98383.13127
P000744,HL00744,POL200001,4/4/2023,2439.162947,99205.55351
P000745,HL00745,POL200015,2/1/2023,1412.919913,100159.6934
P000746,HL00746,POL200001,1/31/2022,1232.130517,100365.8194
P000749,HL00749,POL200004,3/1/2024,2310.825403,96864.25192
P000751,HL00751,POL200004,12/26/2022,2511.092786,100575.7087
P000752,HL00752,POL200018,7/1/2022,2097.663558,101168.893
P000754,HL00754,POL200009,4/14/2023,1551.263577,101781.013
P000755,HL00755,POL200006,7/27/2023,2230.22132,98093.87505
P000760,HL00760,POL200003,3/4/2023,1481.206739,100023.5876
P000761,HL00761,POL200015,6/8/2022,1553.48059,104434.5082
P000765,HL00765,POL200008,12/22/2023,1487.096183,99061.95992
P000773,HL00773,POL200017,4/14/2022,1766.68257,101538.0827
P000775,HL00775,POL200001,8/21/2022,2247.698333,101718.5916
P000777,HL00777,POL200002,8/25/2023,1175.036901,98189.72933
P000783,HL00783,POL200003,2/16/2023,1585.038191,98038.29137
P000792,HL00792,POL200018,6/27/2022,2516.987984,99923.70559
P000796,HL00796,POL200016,11/29/2022,2359.942186,98718.96584
P000797,HL00797,POL200002,9/29/2023,2220.675377,100011.9362
P000799,HL00799,POL200003,2/21/2022,1708.082576,100739.1341
P000800,HL00800,POL200010,7/21/2022,2266.565591,97279.23953
P000801,HL00801,POL200016,9/20/2022,1344.046144,101220.4679
P000806,HL00806,POL200009,3/29/2023,2004.664845,100443.7138
P000807,HL00807,POL200006,1/19/2024,1582.984297,101387.1304
P000809,HL00809,POL200003,4/15/2022,1720.474031,100942.5029
P000820,HL00820,POL200015,1/21/2022,1686.516498,100476.4879
P000831,HL00831,POL200016,1/16/2023,1460.478149,99460.62268
P000835,HL00835,POL200002,2/28/2022,1202.805915,101486.7368
P000837,HL00837,POL200003,7/12/2023,2109.116339,101237.27
P000839,HL00839,POL200018,6/3/2022,2055.795423,96455.02415
P000843,HL00843,POL200007,1/28/2024,1815.547133,103554.6897
P000850,HL00850,POL200018,4/26/2022,1248.278537,101814.8115
P000851,HL00851,POL200002,11/18/2023,1895.188874,97576.26616
P000852,HL00852,POL200016,4/26/2022,2132.428763,99408.669
P000855,HL00855,POL200006,11/21/2022,1565.251616,100161.4842
P000860,HL00860,POL200017,10/26/2023,1667.606799,99982.23039
P000861,HL00861,POL200004,11/21/2022,2074.947961,100179.5507
P000863,HL00863,POL200003,2/1/2022,2146.986596,100835.2162
P000864,HL00864,POL200017,2/18/2023,1768.646563,102623.3202
P000865,HL00865,POL200006,4/22/2023,1569.741719,101023.5657
P000866,HL00866,POL200017,5/11/2022,1588.663287,99501.99772
P000867,HL00867,POL200017,7/26/2022,1660.06852,100748.4227
P000870,HL00870,POL200016,10/2/2022,1644.029095,101096.241
P000871,HL00871,POL200005,7/31/2023,1976.56818,100118.6644
P000884,HL00884,POL200002,6/2/2022,1828.050041,102213.5612
P000886,HL00886,POL200017,9/12/2023,1648.388998,100433.0334
P000891,HL00891,POL200002,8/2/2023,1199.435148,94716.3252
P000899,HL00899,POL200006,10/26/2023,1731.765913,100275.943
P000905,HL00905,POL200016,5/26/2023,1517.727213,103325.9455
P000907,HL00907,POL200018,11/9/2023,1648.965395,98938.56175
P000909,HL00909,POL200006,12/14/2022,1958.906244,101820.4382
P000913,HL00913,POL200017,6/28/2023,1474.069987,101544.5542
P000915,HL00915,POL200015,10/10/2023,2047.82795,100567.8602
P000936,HL00936,POL200001,4/29/2023,1483.520933,102493.6481
P000946,HL00946,POL200002,3/16/2024,1808.968777,101271.3098
P000947,HL00947,POL200009,2/14/2024,1534.376291,104422.5535
P000949,HL00949,POL200003,9/18/2022,1583.427814,99188.01578
P000953,HL00953,POL200016,2/6/2024,1308.003688,100321.1105
P000957,HL00957,POL200002,8/2/2022,1816.345079,99562.0314
P000958,HL00958,POL200002,3/11/2024,929.0774347,98911.43922
P000959,HL00959,POL200002,2/16/2024,2125.39976,97061.37457
P000962,HL00962,POL200000,4/5/2023,1742.118804,97657.99532
P000963,HL00963,POL200002,8/25/2023,1810.452747,98150.77548
P000964,HL00964,POL200003,11/27/2023,1778.719366,100373.5329
P000966,HL00966,POL200018,7/10/2022,1337.875385,102298.0009
P000970,HL00970,POL200000,12/21/2022,1966.932064,101579.09
P000973,HL00973,POL200000,8/30/2023,2316.428108,99725.16723
P000974,HL00974,POL200002,11/23/2022,1257.098797,102196.3662
P000980,HL00980,POL200016,8/24/2023,1845.677665,97845.53144
P000983,HL00983,POL200006,6/29/2022,2094.736455,98962.91932
P000984,HL00984,POL200018,5/24/2023,1801.38354,98977.63543
P000985,HL00985,POL200017,2/24/2022,1543.592066,97015.84058
P000986,HL00986,POL200007,5/27/2023,1885.20204,100442.7165
P000987,HL00987,POL200015,8/26/2023,2135.141076,97986.40565
P000988,HL00988,POL200011,4/1/2024,1646.946158,101815.3232
P000993,HL00993,POL200006,12/31/2023,2056.570541,99873.63691
P000995,HL00995,POL200016,1/28/2022,1502.288857,101895.8922
P000997,HL00997,POL200015,12/11/2023,2206.444269,100936.7539
P000998,HL00998,POL200001,3/31/2023,1218.211714,102949.9023
P000999,HL00999,POL200018,9/21/2023,1984.125881,100190.4664
P001000,HL01000,POL200008,4/23/2023,2122.648059,99293.2418
P001010,HL01010,POL200010,5/8/2023,1480.708806,99126.65553
P001011,HL01011,POL200000,6/11/2023,1223.472067,96533.85235
P001012,HL01012,POL200005,11/30/2023,2172.794427,96371.95844
P001013,HL01013,POL200012,6/23/2023,1801.282111,99314.48196
P001024,HL01024,POL200000,6/3/2023,1880.953537,100888.4488
P001025,HL01025,POL200004,1/21/2022,2204.295706,101669.9006
P001029,HL01029,POL200009,6/6/2022,1370.898544,102955.0192
P001032,HL01032,POL200009,7/4/2022,1970.411378,99540.16209
P001033,HL01033,POL200016,8/7/2022,2087.049643,99607.823
P001035,HL01035,POL200017,11/1/2023,1059.818987,100468.5889
P001037,HL01037,POL200009,2/21/2022,1252.733842,101546.6053
P001039,HL01039,POL200015,3/24/2018,1648.323605,100718.3216
P001040,HL01040,POL200009,7/10/2022,1662.992233,99414.32902
P001041,HL01041,POL200015,4/12/2023,1385.493489,99769.52566
P001045,HL01045,POL200018,1/5/2024,1379.768154,101231.1948
P001047,HL01047,POL200004,10/6/2022,2187.747728,99965.85625
P001053,HL01053,POL200006,3/24/2024,1982.894571,101017.6053
P001054,HL01054,POL200016,11/20/2023,1932.702798,98331.7396
P001055,HL01055,POL200012,10/15/2022,1744.581733,96956.96509
P001057,HL01057,POL200000,8/17/2023,1895.889816,99125.09612
P001058,HL01058,POL200008,11/20/2022,2089.159281,99914.33223
P001059,HL01059,POL200001,2/11/2024,1828.229876,99795.84014
P001060,HL01060,POL200002,10/12/2023,1884.591323,94462.70718
P001061,HL01061,POL200010,6/30/2023,1607.564902,102577.8725
P001063,HL01063,POL200000,2/19/2024,1794.066727,100333.8209
P001064,HL01064,POL200008,2/1/2022,1676.766639,96082.58512
P001066,HL01066,POL200000,4/11/2023,1534.182489,102545.7168
P001069,HL01069,POL200009,12/3/2022,1461.163078,96612.89509
P001072,HL01072,POL200002,1/7/2023,1639.483113,102552.4769
P001073,HL01073,POL200001,1/18/2023,2258.398765,97639.8962
P001076,HL01076,POL200011,5/25/2022,1080.24845,98472.63126
P001077,HL01077,POL200005,1/19/2023,2042.777556,99555.86684
P001079,HL01079,POL200006,12/14/2022,1909.874794,101549.137
P001090,HL01090,POL200015,11/15/2022,2038.957366,100855.594
P001100,HL01100,POL200018,2/21/2024,2162.192873,100084.6453
P001102,HL01102,POL200017,4/24/2023,1639.826066,99787.86119
P001103,HL01103,POL200000,12/3/2023,1274.495991,99806.28089
P001104,HL01104,POL200016,5/13/2023,1693.646817,97847.26199
P001105,HL01105,POL200002,8/27/2023,1207.392259,100994.3744
P001108,HL01108,POL200018,9/25/2022,2496.681087,99579.85807
P001113,HL01113,POL200009,3/22/2023,2319.340077,100433.4842
P001115,HL01115,POL200001,2/14/2024,1851.122305,98625.96428
P001118,HL01118,POL200015,8/9/2022,1908.340427,100859.2542
P001124,HL01124,POL200017,6/5/2023,1470.011641,99731.17688
P001126,HL01126,POL200004,11/4/2022,1479.477032,100612.4279
P001128,HL01128,POL200018,4/26/2023,1447.563025,103101.8451
P001129,HL01129,POL200015,10/11/2022,1978.709744,98379.71833
P001131,HL01131,POL200008,5/25/2022,2375.71117,96054.14258
P001132,HL01132,POL200009,1/7/2023,1843.181456,100492.0306
P001133,HL01133,POL200008,1/9/2024,1174.72438,98975.38653
P001136,HL01136,POL200009,2/24/2022,1543.471526,98406.68923
P001141,HL01141,POL200009,4/28/2023,1167.030467,102581.1469
P001142,HL01142,POL200000,1/28/2024,2118.906442,99621.55932
P001145,HL01145,POL200004,9/24/2022,1716.51409,98901.91633
P001152,HL01152,POL200003,7/18/2023,1975.055048,99040.88265
P001154,HL01154,POL200016,10/22/2023,1904.242625,99071.82315
P001156,HL01156,POL200006,7/15/2022,1952.082005,102790.1687
P001158,HL01158,POL200016,12/14/2023,1716.989312,100096.7671
P001173,HL01173,POL200016,11/21/2022,1645.928962,99395.72449
P001174,HL01174,POL200007,1/31/2024,2163.601049,95831.43482
P001175,HL01175,POL200002,8/18/2023,2163.746566,98298.65788
P001177,HL01177,POL200015,11/30/2022,2373.068016,100409.4608
P001180,HL01180,POL200015,12/29/2023,1874.904202,101609.8704
P001181,HL01181,POL200011,5/20/2023,2170.983356,97619.46116
P001184,HL01184,POL200009,8/10/2023,1906.507701,101036.2039
P001185,HL01185,POL200018,12/4/2022,1666.466264,103056.3066
P001188,HL01188,POL200018,3/4/2024,1986.092583,98564.8705
P001189,HL01189,POL200003,12/2/2022,1992.370702,99313.21408
P001191,HL01191,POL200016,10/5/2023,2051.010405,99580.70144
P001192,HL01192,POL200001,4/16/2023,1956.444888,100233.8854
P001194,HL01194,POL200005,3/26/2022,1859.813678,99476.9034
P001197,HL01197,POL200018,11/28/2023,1763.466076,103266.4106
P001199,HL01199,POL200004,6/11/2022,1625.145127,98154.81781
P001201,HL01201,POL200001,11/12/2022,1560.07233,101646.2842
P001204,HL01204,POL200018,2/13/2022,1509.608662,98702.29699
P001216,HL01216,POL200002,6/29/2023,1243.8284,100776.8165
P001222,HL01222,POL200017,5/28/2023,1804.993809,95998.66543
P001223,HL01223,POL200008,12/24/2022,1656.71808,100592.8123
P001225,HL01225,POL200004,9/24/2023,1554.591725,96090.81591
P001232,HL01232,POL200015,5/30/2022,2376.613567,102692.7882
P001233,HL01233,POL200011,12/29/2022,1949.575012,101268.748
P001234,HL01234,POL200009,9/28/2023,1966.463081,102048.8118
P001235,HL01235,POL200000,10/18/2023,2067.587968,101925.1601
P001243,HL01243,POL200004,8/15/2022,2375.063733,102784.3018
P001244,HL01244,POL200002,7/27/2022,1882.36121,103018.3843
P001248,HL01248,POL200002,3/29/2023,1761.418568,100774.5489
P001249,HL01249,POL200008,4/17/2022,1948.901227,96849.44626
P001251,HL01251,POL200008,11/25/2022,1834.346097,101477.3107
P001252,HL01252,POL200011,9/15/2022,2208.776298,100007.1775
P001254,HL01254,POL200018,9/26/2022,2108.774869,99902.5643
P001258,HL01258,POL200017,9/12/2023,1301.652991,99540.80064
P001260,HL01260,POL200004,11/18/2023,2262.972611,101914.288
P001263,HL01263,POL200007,10/3/2023,1465.367828,100670.6816
P001264,HL01264,POL200001,4/27/2023,1466.279679,98609.936
P001267,HL01267,POL200012,12/19/2023,1543.526766,106414.3556
P001268,HL01268,POL200007,6/28/2023,1548.114145,103539.5826
P001271,HL01271,POL200008,3/4/2023,1099.533473,99411.34294
P001274,HL01274,POL200002,1/25/2024,2227.635827,99740.7335
P001277,HL01277,POL200000,8/19/2023,1194.129162,100796.1931
P001278,HL01278,POL200018,12/16/2022,1813.085412,101587.5191
P001279,HL01279,POL200001,5/22/2023,1656.818547,97431.70145
P001280,HL01280,POL200002,4/17/2023,2037.952628,101412.3328
P001281,HL01281,POL200015,9/3/2023,1774.316544,100127.2228
P001284,HL01284,POL200003,5/30/2022,2165.647448,100637.1032
P001285,HL01285,POL200015,1/9/2023,1519.580687,102078.4985
